"id","coding_sample"
58,">>>>>>  >>>>> _ X || _ | _ | || | _ vvvvv _ / / // _ /XX _ °°°°° _ vvvvvvv _ vvvv _ ||l _ ||| _ vv _ vvv _ vvvv vvvvvv >>>> _ ||| _ X X _ ||| _ //// _ ||||| _ vvv _ vv _ || _ ||||| _ || _ vvv|||| _ ^^^^ _ X _ vvvvvv/v _ || || _ XX _ ||| |||| _ ////////// _ l|ll"
59,"||| _ X X _ ||| _ //// _ ||||| _ vvv _ vv _ || _ ||||| _ || _ vvv|||| _ ^^^^ _ X _ ¥ _ °°°°°°°°°°° _ °°°°°°°° _ °°°°°°°°°°° _ °°°°°°°°°°°°°° _ vvvXXX _ vvvvvv _ vvvvv _ ||| _ ||| _ vvvv _ ||| _ vvvv _ |||| _ ||| _ ||| _ vvv _ ¥ _ || _ ° _ vvvvvvvv _ vvv _ ||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤¤¤ _ ///// _ ||||| _ ¤¤¤¤¤¤¤ _ ||| |||| _ || _ | | || | | | _ lllll | | _ //// _ /// ¤¤¤¤ _ >>>> _ >>>> _ ||| |||| _ vvvv vvvv _ vvvvv _ vvvvvv _ & _ vv _ X _ XXXXXYYY _ X _ XXXX _ XVXXY _ °°° _ °°°°°°° _ XXXX _ >>>XXX _ ⊞ _ XXXXX _ ¥ _ ⊞ _ ||||||| _ ¤¤¤¤¤¤¤¤¤ _ // _ ¤¤¤¤¤¤¤¤¤ _ ||| _ V _ v v vvv vv"
60,"^^^^^^ | _ vvvvvvvv _ XXXXX _ |||||X _ |||| _ W W _ | | || | > _ XX _ vvvvvvvv _ vvvv _ ¥ _ vvv _ vv _ vv _ vvv _ vvvvvv _ XX _ v vv vv _ X || _ | _ | || | _ vv _ vvv _ vvvvv _ | | |"
61,"v vvv _ vv _ || _ ||||||||||||||| _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvv _ X/X|| _ |||| _ ¥ _ vvvvvvvv _ ⊞ _ ⊞ _ || _  ⊞ _ | | | _ ||| _ |||| _ –XXXX _ ¤¤¤¤¤¤¤¤¤ _ vvvvvvvvvvvvv _ //////////// _ XX _ XX _ //////////// _ /// _ ///// _ // //// _ ¥ _ /////////// _ ||||| _ vvvvv _ XXX _ ¥ _ vvvvvvvvvvvv"
62,"XXXXX _ // _ vv _ vvv _ ⊞ _ XX _ vvvvvvvv _ vvvv _ vvv _ vvv _ vvvv _ vvvvvv/v _ |||| _ v vvv _ |||| _ ||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤¤¤ _ ///// _ ||||| _ ¤¤¤¤¤¤¤ _ ||| |||| _ || _ | | || | | | _ lllll | | _ //// _ /// ¤¤¤¤ _ vvvvvv _ vvvvvv _ ¥ _ ¥ _ ||||| ||| _ || _ ||"
63,"O _ ¥ _ vvvvvvvvvvvvvvvvvv _ v _ || || _ °°°°°°°°°°° _ °°°°°°°° _ °°°°°°°°°°° _ °°°°°°°°°°°°°° _ vvvXXX _ vvvvvv _ vvvvv _ ||| _ ||| _ vvvv _ ||| _ vvvv _ |||| _ ||| _ ||| _ vvv _ ¥ _ || _ ° _ ¥ v _ vvvvV _ >>  _ vvv _ vvvvv _ vvvv/Xv _ XXXXXXvvv _ _ °°°°° _ vvvvvvv _ /XX _ v v vv v v v _ vvv _ ¥ ¥ ¥ _ ⊞ _ ||||| _ | _ || _ ||||| _ vvvvv"
64,"¥ _ vvv _ vvvv _ vv _ vvvv _ XX _ vv _ v _ v vvv _ vvvvvvvv _ >>>> _ >> _ vvvvvvv _ vvvvvvv _ vvvvvv _ //// _ vvvv _ vvv  _ vvv _ ^^^^^^ | _ vv _ |||||||||| _ vvv"
65,"$ _ vvvvvvvv _ vvvv _ vv _ vvv _ v _ vvv _ vvv _ |||||||||||| _ ||||| _ ||||||| _ vvv _ vvvvv _ |||||X _ |||| _ vvvvv _ ||||||| _ |||||| _ |||||||||| _ vv _ /// _ |||||| _ || _ X _ vvv _ ||||| ||| _ ||"
66,"vvvvvvv _ // /// // _ vvvvvvvv _ $ _ vvvvv _ XXXX _ ¥ _ ||||| _ vvvv vvvvvv >>>> _ vv _ vvvv vvvv _ ¥ ¥ ¥ _ ||||| _ vvvvv _ X| _ ¥ _ ⊞ _ ⊞ _ || _  ⊞ _ | | | _ ||| _ OO _ ¥"
67,"vvvvvv _ v V>>>vv _ °°°°°°°°° _ °°°°°° _ ° _ ° _ ¤¤¤¤¤¤ _ vvvvvv _ vvvvvvv _ // /// // _ vv _ vv _ vvvvvvvvvvvv _ vv _ |||| _ vvvvvvv _ v _ $ _ OOOOO _ v _ || ||| _ ⊞ _ ⊞ _ || _  ⊞ _ | | | _ ||| _ ||| _ ¥ _ | _ Vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv"
68,"vvvv _ vvv  _ vvv _ ||||||||||||||||||| _ vvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvv _ & _ X _ || || _ vvvvvv _ vvvvvvvvvv _ || ||| _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvv _ XXXXXXXX/ _ XXXX _ || | _ vvvv vvv vv _ vvv v vvvv _ vvv _ v vv v v v v v _ v v v v v _ vvvv _ >>>>>>> _ vvvvvvvv _ X| _ vvv _ ||"
69,"vvvvvvv _ XXXXX _ °°°°°°°°°°° _ °°°°°°°° _ °°°°°°°°°°° _ °°°°°°°°°°°°°° _ vvvXXX _ vvvvvv _ vvvvv _ ||| _ ||| _ vvvv _ ||| _ vvvv _ |||| _ ||| _ ||| _ vvv _ ¥ _ || _ ° _ vvvvv _ vvvvvvvv _ vv _ vvvvvvvvv _ X| _ ¥ _ vvv _ X/XXX/ _ ||||||| _ |||||| _ |||||||||| _ vv _ /// _ XX _ vvv _ vvvv _ vvvv _ >>>> _ >>"
70,"YYY _ || _ |||| _ ⊞ _ vvvvvvvvvvvvvvvvvv _  ⊞ _ vvvvvv _ & _ X _ ||| _ vv _ vvv _ || _ v v vv v v v _ / \ _ ||| _ || _ $ _ XXXXXXXXXXXXX _ vvvvvvvvvvvvvvvvv _ vvvvvv _ ¥ _ ¥ _ °°°°°°°°°°° _ °°°°°°°° _ °°°°°°°°°°° _ °°°°°°°°°°°°°° _ vvvXXX _ vvvvvv _ vvvvv _ ||| _ ||| _ vvvv _ ||| _ vvvv _ |||| _ ||| _ ||| _ vvv _ ¥ _ || _ ° _ Vvvvvvvvvvvvv _ vvvvvvvvvvvvv _ vvvvvvv _ vvvvvv _ >>>>\\\  _ >>> _  ^^^^ _ °°°°°°°°°°°°° _ °°°°°°°°°° _ °°°°°°°°°°°° _ °°°°°°°°°°°°°  _ |||||||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤ _ Y/\\\\VV\\ _ vvvvvvvv _ C _ |||| _ /// _ ||| _ ||| _ v"
71," _ °°°°°°°°° _ °°°°°° _ ° _ ° _ ¤¤¤¤¤¤ _ XXXXX _ ||||| _ ///////////////// _ /////////////// _ vvvv _ vvv  _ vvv _ Vvvvvvvvvvvvv _ vvvvvvvvvvvvv _ vvvvvvv _ vvvvvv _ >>>>\\\  _ >>> _  ^^^^ _ °°°°°°°°°°°°° _ °°°°°°°°°° _ °°°°°°°°°°°° _ °°°°°°°°°°°°°  _ vvvvv _ vvvvvv _ ||| ///// _ V _ vvvvvv _ v V>>>vv _ XX _ vvvvvvvv _ vvvv _ ¥ _ X| _ vvvv/Xv _ XXXXXXvvv _ _ Vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ | |||| | | |||| _ v vvv _ ||| _ vv _ vvv"
72,"vvvvvvvv _ vv _ XXXXX _ XXXX _ ¥ ¥ ¥ _ vvvv _ vvvvvvvvvvvv _ vvvvv _ v _ ||||||| _ ¤¤¤¤¤¤¤¤¤ _ // _ ¤¤¤¤¤¤¤¤¤ _ ||| _ V _ X _ vvvvvvvv _ X X X X X X X _ vvvvvvvvvvvvvvvvvvvvvvvvvv _ vvv vvv vv vvv vvv _ XX _ ⊞ _ ⊞ _ || _  ⊞ _ | | | _ ||| _ vvv _ vvvv*vvvvvvvv _ ||||| _ ¤¤¤¤¤¤¤¤¤ _ "
73,"vv _ vv _ |||| _ v _ \\\\ \\\\\ _ \ \\\ / _ ||| _ ||||||| _ |||||| _ |||||||||| _ vv _ /// _ YYY _ vvvvv _ vvvvvv _ |||||| _ XXX _ vvvvvvv _ |||||||||||| _ ||||| _ ||||||| _ >> _ /XX _ ¥"
74,"v v vvv vv _ XX _ vvvvvvvv _ vvvv _ vvv _ vvvvvvvv _ XXX _ // _ |||||||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤ _ Y/\\\\VV\\ _ vvvvvvvv _ C _ |||| _ /// _ ||| _ ||| _ v _ /XX _ vvvvvv _ v V>>>vv _ vvvv _ vvv  _ vvv _ ⊞ _ vvvvv _ vvvvvv _ & _ XXXXXYYY _ X _ XXXX _ XVXXY _ °°° _ °°°°°°° _ XXXX _ >>>XXX _ ⊞ _ XXXXX _ X| _ XXXXX _ vvvvvvvvv"
75,"||||||| _ ¤¤¤¤¤¤¤¤¤ _ // _ ¤¤¤¤¤¤¤¤¤ _ ||| _ V _ vvvvvvv _ ||| _ vv _ vvv _ || _ vvvv _ vvv  _ vvv _ Vvvv _ |||| _ vvv _ ¥ _ ¥ _ //////////// _ /// _ ///// _ // //// _ ¥ _ /////////// _ ||||| _ vvvvv _ & _ X _ >> _ ||| ///// _ V _ vvvvvvvvvv _ vvvvvvvvv _ X X X X X X X _ vvvvvvvvvvvvvvvvvvvvvvvvvv _ vvv vvv vv vvv vvv"
76,"|| _ ¥ _ vvvvvv _ ¥ _ ¥ _ |||| _ X| _ | | || | > _ vvvvvv _ v _ ||| |||| _ vvv vvv _ //// _ | ||||| | _ | | | || || | | | | | _ >>>> _ >> _ ||| _ XXX _ vvvv _ XXXXX"
77,"⊞ _ vvvvvv _ vvv _ ¥ _ vvvvvvvvvvvv _ vv _ vvvvvvvv _ OO _ $ _ vvvvvvvv _ vvvvvvvvv _ vvvvvvvvvvvv _ vvvv*vvvvvvvv _ ||||| _ ¤¤¤¤¤¤¤¤¤ _ ¥ _ ¥ _ ¥ v _ vvvvV _ >>  _ vvv _ |||||X _ |||| _ W _ |||| _ –XXXX _ ¤¤¤¤¤¤¤¤¤ _ vvvvvvvvvvvvv _ ////////////"
78,"vv _ XXXXXXXX/ _ XXXX _ XXXXX _ ||||||| _ ¥ _ vvv _ v _ ¥ _ v v vv v v _ OO _ vvvvvvvv _ >>>> <<< >>>> <<<< >> _ > <<<<< >>>> <<<<<< >>>> _ vvvv _ vvv _ X/XXX/ _ XX _ // _vvvv _ vvvvvvvvvv _ OO"
79,"v v vv v v v _ v v v vv _ v v v _ v v vv vv vv vv _ ¥ _ vvv _ vvvvvvv _ >>>>>>  >>>>> _ vvvvvvvvvvvvvvvvvvv _ vv _ v v v vv _ v v v vv _ |||| _ ||||| _ |||||||| _ ||| ///// _ V _ °°°°°°°°°°° _ °°°°°°°° _ °°°°°°°°°°° _ °°°°°°°°°°°°°° _ vvvXXX _ vvvvvv _ vvvvv _ ||| _ ||| _ vvvv _ ||| _ vvvv _ |||| _ ||| _ ||| _ vvv _ ¥ _ || _ ° _ XX _ / / / / // _ vvvvvvvvvvvvvv _ // _ XX _ ||||||||||||||| _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvv _ vvvv/Xv _ XXXXXXvvv _"
80,"|||| _ vvvv vvvvvv >>>> _ ||||||||||| _ vvvv _ vvvvvv _ ¥ _ ¥ _ ||| _ ¥ _ | _ ||| _ v v vv v v _ $ _ OOOOO _ vv v _v _ | _ | _ ¥ _ $ _ vv _ | | |||| ||| _ vv"
81,"°°°° °°° _ °°°°°°°° _ v°°°°°°°°° _ Vv _ || ||| _ ¥ _ vvvvvv/v _ vvv _ Vvvvvvvvvvvvv _ vvvvvvvvvvvvv _ vvvvvvv _ vvvvvv _ >>>>\\\  _ >>> _  ^^^^ _ °°°°°°°°°°°°° _ °°°°°°°°°° _ °°°°°°°°°°°° _ °°°°°°°°°°°°°  _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ O _ OOOOO _ || _ ¥ _ ¥ _ ¥ _ ¥ _ ||||||| _ ¥ _ vvv _ v _ XXXXX _ vvvv vvvv"
82,"|||||||||||| _ ||||| _ ||||||| _ vv _ Vvvv _ |||| _ | ||||| | _ | | | || || | | | | | _ ||| |||| _ vvv _ ⊞ _ ⊞ _ || _  ⊞ _ | | | _ ||| _ //////////// _ /// _ ///// _ // //// _ ¥ _ /////////// _ vvvvvvvv _ vv _ vvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvv _ vvv vvv _ |XX |X X _ vvvv _ vvv  _ vvv"
83,"¥ _ vvv vvv _ vvv _ vvvv _ vv _ vvvv _ //// _ XX _ v v vv v _ | | || | > _ vvv _ ⊞ _ vvvvv _ ¥ _ vvvv _ vvv _ vvv _ || _ ||| ||||"
84,"vvv _ vvv _ ¥ _ v v vvv vv _ vvv _ ||| _ X X _ ||| _ //// _ ||||| _ vvv _ vv _ || _ ||||| _ || _ vvv|||| _ ^^^^ _ X _ / / // _ vv _ vvv _ ¥ _ | | || | > _ XX _ vvvvvvvv _ vvvv _ v v vv v v _ ¥ _ v vv v _ $ _ vvv vvv _ X || _ | _ | || |"
85,"vv _ ||||| _ | _ || _ / / / / // _ vvvvv _ >> _ ||||CC _ ¤¤¤¤¤¤¤¤¤¤¤¤ _ ||||  _ || _ |||| _ $ _ ||| _ X X _ ||| _ //// _ ||||| _ vvv _ vv _ || _ ||||| _ || _ vvv|||| _ ^^^^ _ X _ XX _ XXXXXXXX _ | _ vv _ Vvvv _ |||| _ OO _ vvv _ |||||X _ |||| _ vv _ v"
86,"¥ _ ||||||| _ |||||| _ |||||||||| _ vv _ /// _ vvvvvvvvvv _ ||||||||||||||||||| _ vvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvv _ vvvv v _ vvv _ | |||| _ | _ vv v _ ||||_ | || _ vvv _ vv _ |||| _ ¥ _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vv _ vvvvvvvv _ vvvvv _ X || _ | _ | || |"
87,"| _ vvvvv _ vvv _ XX _ ||||||||||| _ W _ vvvvv _ vvvvvv _ & _ ||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤¤¤ _ ///// _ ||||| _ ¤¤¤¤¤¤¤ _ ||| |||| _ || _ | | || | | | _ lllll | | _ //// _ /// ¤¤¤¤ _ v vvv _ vvvvvvvvvvvvvv _ X || _ | _ | || | _ °°°°°°°°° _ °°°°°° _ ° _ ° _ ¤¤¤¤¤¤ _ vvvvv _ XX _ ||| X V\\ / \\/ \\ ¥ _ °°°°°°° _ vvvvv"
88,"|||| _ °°°°°°°°° _ °°°°°° _ ° _ ° _ ¤¤¤¤¤¤ _ ¥ _ | |||| | | |||| _ v vvv _ || _ ¥ _ vvvv _ vvvv _ vv _ vvv _ vvv _ >>>> <<< >>>> <<<< >> _ > <<<<< >>>> <<<<<< >>>> _ X| _ vvvv*vvvvvvvv _ ||||| _ ¤¤¤¤¤¤¤¤¤ _ ¥ v _ vvvvV _ >>  _ ¥ _ YYY _ ¥"
89,"| ||||| | _ | | | || || | | | | | _ vvvvvvvv _ ¥ _ ¥ _ || | _ XXXXX _ vvv vvv _ XXXXX _ XXXX _ vvvvvvvvvv _ vvvvvvvvvv _ ⊞ _ |||| || || | _ |||||| | | | _ |||||||| _ ¥ _ XX _ >>>> _ >>>> _ OO _ vvvvvvvv"
90,"vvvvvvvvvvvvvvvvvv _ v _ vvvv _ XX _ vv v _v _ XXXXXYYY _ X _ XXXX _ XVXXY _ °°° _ °°°°°°° _ XXXX _ >>>XXX _ ⊞ _ XXXXX _ >>>>>>  >>>>> _ ¥ _ v v v vv vv _ v v vv _ vvv vvv _ \\\\ \\\\\ _ \ \\\ / _ ¥ _ vvvvvv _ & _ X _ vvvv _ OOOOO _ //////////// _ /// _ ///// _ // //// _ ¥ _ /////////// _ "
91," _ °°°°°°°°° _ °°°°°° _ ° _ ° _ ¤¤¤¤¤¤ _ XXXXX _ vv _ X _ OO _ ¥ _ ||||||||||||||||||| _ vvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvv _ vv _ ¥ _ XXX _ || _ v _ v _ v vv vv _ vvvv*vvvvvvvv _ ||||| _ ¤¤¤¤¤¤¤¤¤ _ XXXXXYYY _ X _ XXXX _ XVXXY _ °°° _ °°°°°°° _ XXXX _ >>>XXX _ ⊞ _ XXXXX _ $ _ ||| _ ¥ _ | _ vv _ vv"
92,"vvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvv _ / \ _ ||| _ || _ vvv _ v vv vv _ ¥ _ ||||| _ vvvv _ vvvvv _ ¥ _ ||||||| _ ¥ _ vvv _ v _ $ _ vvv _ ||||| _ vvvvv _ XXXXXYYY _ X _ XXXX _ XVXXY _ °°° _ °°°°°°° _ XXXX _ >>>XXX _ ⊞ _ XXXXX _ || || _ v _ vvvv v"
93,"v v v vv vv _ v v vv _ |||| _ ||||| _ |||||||| _ | |||| _ | _ vv v _ ||||_ | || _ v vvv v v _ vvv v _ ||||||| _ v _ v _ XXXXX _ XXXX _ XXXXX _ || _ ¥ _ |||| _ vvvv _ vvvvvv _ vvvvvvv _ XX _ vvvvvvv _ vvvvv"
94,"°°°°° _ vvvvvvv _ vvvvvv _ vv _ °°°° °°° _ °°°°°°°° _ v°°°°°°°°° _ Vv _ |||| _ –XXXX _ ¤¤¤¤¤¤¤¤¤ _ vvvvvvvvvvvvv _ //////////// _ XX _ X X X X X X X _ vvvvvvvvvvvvvvvvvvvvvvvvvv _ vvv vvv vv vvv vvv _ |||| || || | _ |||||| | | | _ |||||||| _ v _ v _ $ _ XXX _ vvvv _ XXXX _ vvvvvv _ ¥ _ ¥ _ ¥ _ XX _ |"
95,"vv _ | ||||| | _ | | | || || | | | | | _ |||||X _ |||| _ vvvvvv _ vvv _ OOOOO _ XXXXX _ vvv _ vvv _ ¥ ¥ ¥ _ vvvvvvvvvv _ vvvvv _ vvvvv _ ||||||||||| _ X| _ vvvvv _ XX"
96,"|| | _ ¥ _ vvvvvv _ |||| _ °°°°° _ vvvvvvv _ vvv _ vvvv _ OO _ vvvvvvvv _ vvvv vvvv _ vvvv _ |||||| _ vvvv vvv _ |||| _ vvvv vv _ //// _ °°°°°°°°° _ °°°°°° _ ° _ ° _ ¤¤¤¤¤¤ _ XXX _ v vv vv"
97," _ v _ | |||| | | |||| _ v vvv _ XX _ vv _ vv _ \\\\ \\\\\ _ \ \\\ / _ vvv vvv _ vvvvv _ vvvvvvv _ XX _ |||| || || | _ |||||| | | | _ |||||||| _ vvvvv _ v _ vvvvvvvvv _ vv _ vv _ vvv _ vvv"
98,">>>> _ >>>> _ ¥ _ v _ vvvvvvvvvvv _ vvvvvv _ ¥ _ ¥ _ |||| _ vvvvv _ >> _ ||||CC _ ¤¤¤¤¤¤¤¤¤¤¤¤ _ ||||  _ |||| _ –XXXX _ ¤¤¤¤¤¤¤¤¤ _ vvvvvvvvvvvvv _ //////////// _ vvvvvv _ ⊞ _ X _ vv _ XXXXXXXXXXXXX _ vvvvvvvvvvvvvvvvv _ ||| _ X X _ ||| _ //// _ ||||| _ vvv _ vv _ || _ ||||| _ || _ vvv|||| _ ^^^^ _ X _ ||||||| _ |||||| _ |||||||||| _ vv _ /// _ vv"
99,"|||| || || | _ |||||| | | | _ |||||||| _ vvvvvvvvvvvvvvvvvvv _ vvvvvv _ ¥ ¥ ¥ _ |||||||||| _ vvvvvvvvvvv _ vvv _ ¥ _ |||| _ X _ vvvvv _ ¥ _ |||||X _ |||| _ //// _ vvv _ vv _ vv _ vvv _ vvvvvv"
100,"vv _ v _ |||| _ ||||| _ |||||||| _ vv _ l llXl ll| |  XX| |  ¥¥¥ ¥¥ llll _ | | | | | | | | | | l _  ll ll ll ll _ vv _ ¥ _ vvvvvvvv _ vv _ X _ vvvv _ // _vvvv _ X || _ | _ | || | _ vv _ vvv _ ||||| _ ///////////////// _ /////////////// _ // _ vvvv _ ¥ ¥ ¥"
